drift_family,estimator,trial,beta,sign_error,mse,entropy_final,sign_prob_final
ou,x_pf,35,1.0,0.08,0.07877284962851391,0.9031162851380837,0.6811593171254475
ou,x_pf,36,1.0,0.24,0.10827264182947895,0.8087770191887962,0.7515720148892003
ou,x_pf,37,1.0,0.08,0.061606435259489084,0.9274393305261281,0.6572357937524717
ou,x_pf,38,1.0,0.25,0.350739431032548,0.9392791289652095,0.6440392663303498
ou,x_pf,39,1.0,0.17,0.1159181865245973,0.9272080728000763,0.6574818172004199
ou,x_pf,40,1.0,0.0,0.037320217923455606,0.13464755978455373,0.9812002214160003
ou,x_pf,41,1.0,0.04,0.04350699643141482,0.9455927948392697,0.6364472278262168
ou,x_pf,42,1.0,0.0,0.019911241748237198,0.030955363400478535,0.9968210604212575
ou,x_pf,43,1.0,0.02,0.07697556699591215,0.6435150634078658,0.8361184710928001
ou,x_pf,44,1.0,0.23,0.11289605846662559,0.42549150971881633,0.9132606508760062
ou,x_pf,45,1.0,0.31,0.11889445560612633,0.8811285894807219,0.7001327308859036
ou,x_pf,46,1.0,0.0,0.045547285445139876,0.25602124293148204,0.9569688693402216
ou,x_pf,47,1.0,0.19,0.0670985579622,0.06589846687146923,0.992189781543384
ou,x_pf,48,1.0,0.15,0.15281349877733896,0.11680081229836635,0.9842601728723548
ou,x_pf,49,1.0,0.4,0.20877713094979256,0.057136120377132386,0.9934221215724411
ou,x_pf,50,1.0,0.08,0.05315698316161264,0.10469808621007626,0.9862561314932077
ou,x_pf,51,1.0,0.01,0.05066893545019182,4.1304950338020633e-11,0.999999999999
ou,x_pf,52,1.0,0.47,0.34837618706584955,0.8378003415925078,0.7325371765940103
ou,x_pf,53,1.0,0.16,0.10131272219852412,0.004565693674684769,0.9996462767678795
ou,x_pf,54,1.0,0.37,0.10962662253391109,0.8488160991091418,0.7248083344705856
ou,x_pf,55,1.0,0.03,0.0971650394105268,0.1929454055619451,0.9702880167222276
ou,x_pf,56,1.0,0.0,0.022129711721908016,0.0814187229829293,0.989905536042518
ou,x_pf,57,1.0,0.12,0.06345113217016943,0.19195524107043924,0.9704847031766117
ou,x_pf,58,1.0,0.46,0.26864095602389054,0.5910545970836397,0.8573818721381086
ou,x_pf,59,1.0,0.03,0.04151208325826855,0.7947770686118819,0.7601582184567983
ou,xy_snapshot,0,1.0,0.15,0.14718726975376678,0.0003104290682702726,0.9999819523336992
ou,xy_snapshot,1,1.0,0.03,0.12332279252625916,0.007895266732093838,0.9993428067822883
ou,xy_snapshot,2,1.0,0.1,0.1333030670515112,0.4932910290593926,0.8921846477107853
ou,xy_snapshot,3,1.0,0.05,0.1446838246247458,0.0028932394969440347,0.9997879797455589
ou,xy_snapshot,4,1.0,0.2,0.6153790589910142,0.0003376381360947289,0.9999802182348719
ou,xy_snapshot,5,1.0,0.32,0.07178995587047131,0.993427776296163,0.547689603346614
ou,xy_snapshot,6,1.0,0.27,0.10396304856726686,0.7441913208788455,0.7885783908218847
ou,xy_snapshot,7,1.0,0.16,0.12217801843474284,0.8843741065164528,0.30254037856552335
ou,xy_snapshot,8,1.0,0.12,0.09469071235509897,0.01811099414527615,0.9982978172744904
ou,xy_snapshot,9,1.0,0.21,0.07913200469443998,0.006516563535164124,0.9994713942833916
