estimator,trial,beta,sign_error,mse,entropy_final,sign_prob_final
x_pf,84,0.0,0.53,0.2457373680226537,0.9989045657034492,0.4805178928594931
x_pf,85,0.0,0.41,0.31385033637011484,0.9956521910396328,0.46120152774608636
x_pf,86,0.0,0.27,0.37542860756329566,0.9983597219138876,0.5238382379500577
x_pf,87,0.0,0.71,0.3683035738321586,0.9997140119610807,0.5099553679964279
x_pf,88,0.0,0.64,0.41295209714493714,0.9974813148567367,0.5295364461904102
x_pf,89,0.0,0.32,0.3840020466477599,0.9990811363842548,0.5178433810688434
x_pf,90,0.0,0.52,2.177186532300843,0.999997743368322,0.49911564230379635
x_pf,91,0.0,0.47,0.07646809071259436,0.9999731046611311,0.5030530568664979
x_pf,92,0.0,0.54,0.7617868260718172,0.9997672266323179,0.4910184209128041
x_pf,93,0.0,0.72,0.6316519661723725,0.9842109606157997,0.426161849817992
x_pf,94,0.0,0.53,0.18663228347503838,0.9976043255094329,0.5288065588652293
x_pf,95,0.0,0.55,0.7621452639408888,0.9753709753694726,0.40787462410471925
x_pf,96,0.0,0.17,0.6870913770946028,0.9064731628820728,0.3219348730176726
x_pf,97,0.0,0.54,0.256574471727051,0.9999551582080952,0.5039421846480895
x_pf,98,0.0,0.44,0.23351150750913974,0.9997933317217003,0.49153700130125555
x_pf,99,0.0,0.49,0.1290244410794715,0.992125148502532,0.5521943118121948
x_pf,100,0.0,0.31,0.3431912516768496,0.9913482089283453,0.5547035972623207
x_pf,101,0.0,0.38,0.1854094010394035,0.9999002525466485,0.5058795438859156
x_pf,102,0.0,0.49,0.8039033649660197,0.9986387834695725,0.4782833402962613
x_pf,103,0.0,0.73,0.7229948853832453,0.9988895894963314,0.48038520428886067
x_pf,104,0.0,0.57,0.15912390861288211,0.9990284038899531,0.5183481321713256
x_pf,105,0.0,0.46,0.121160088235054,0.999782390076313,0.49131587306893454
x_pf,106,0.0,0.54,0.2798538003368939,0.9973281130835403,0.4695790591408394
x_pf,107,0.0,0.51,0.30827701467643054,0.9998431189299616,0.4926264754106483
x_pf,108,0.0,0.86,0.9190913663931596,0.9921046116886485,0.4477377981682233
x_pf,109,0.0,0.36,0.2785843560474829,0.9974320126968819,0.5298239566685593
x_pf,110,0.0,0.54,0.22375655633901076,0.9937013293786026,0.5466880518073185
x_pf,111,0.0,0.58,0.4551005492879674,0.9822404450524601,0.5782923687405065
x_pf,112,0.0,0.68,1.6726942032973913,0.9999982763860786,0.5007728899191464
x_pf,113,0.0,0.56,0.7075617096760735,0.9995720873394951,0.4878226208101793
x_pf,114,0.0,0.52,0.36189633319590725,0.9998905930701257,0.5061576451655221
x_pf,115,0.0,0.59,0.5537900311148755,0.9849276084548548,0.5721489850344156
x_pf,116,0.0,0.63,0.23259752965935157,0.9998526481323664,0.49285391525859334
x_pf,117,0.0,0.35,0.2779953489327931,0.9999336884697565,0.5047938995610903
x_pf,118,0.0,0.6,0.261231447137811,0.9984704319884294,0.47697999765552246
x_pf,119,0.0,0.56,0.3390043577561254,0.9998265093550813,0.5077540225340104
x_pf,120,0.0,0.23,0.6046937169071203,0.9886011496167659,0.5627704148153536
x_pf,121,0.0,0.43,0.6182435230125326,0.9494945322732132,0.631524258913686
x_pf,122,0.0,0.76,0.6794360165462705,0.9980697472392358,0.5258587746192593
x_pf,123,0.0,0.67,0.3220493665539152,0.9993201268661689,0.5153489106291913
x_pf,124,0.0,0.46,0.6000233791809476,0.9833005801702797,0.42407100371381623
x_pf,125,0.0,0.56,0.34224952986505336,0.9993937408733329,0.4855057263459536
x_pf,126,0.0,0.15,0.3737790162665735,0.9998941672077002,0.49394376735124046
x_pf,127,0.0,0.44,0.3402111478448765,0.9687220640310994,0.6037378355941351
