gain,estimator,trial,residual_var
0.4,x_only,11,0.5865512547831851
0.4,x_only,12,0.297594764556724
0.4,x_only,13,0.7473791911121695
0.4,x_only,14,0.43238184699769705
0.4,x_only,15,0.20505695037115845
0.4,x_only,16,0.25819467458400475
0.4,x_only,17,0.608472172849228
0.4,x_only,18,0.1639852464218319
0.4,x_only,19,0.6705534191221539
0.4,x_only,20,0.3992627540456482
0.4,x_only,21,0.48669571033269804
0.4,x_only,22,0.37099148999622933
0.4,x_only,23,0.29455754515641897
0.4,x_only,24,0.38134318091797553
0.4,x_only,25,0.3927092157013756
0.4,x_only,26,0.46317797766033864
0.4,x_only,27,0.21781766969724894
0.4,x_only,28,0.7392333279459332
0.4,x_only,29,0.358988593866457
0.4,x_only,30,0.6459218127155906
0.4,x_only,31,0.1709449833546196
0.4,x_only,32,0.23347039024029934
0.4,x_only,33,0.26713216871254497
0.4,x_only,34,0.20296093438564586
0.4,x_only,35,0.6421597171031208
0.4,x_only,36,0.1736954342327796
0.4,x_only,37,0.20283754363103704
0.4,x_only,38,0.5877305272610829
0.4,x_only,39,0.14141846914800751
0.4,x_only,40,0.2531687769079582
0.4,x_only,41,0.32933859225031337
0.4,x_only,42,0.5544636509542119
0.4,x_only,43,0.4518355080058569
0.4,x_only,44,0.27484964252366545
0.4,x_only,45,0.585320774748253
0.4,x_only,46,0.4891271006954118
0.4,x_only,47,0.22424263776336165
0.4,x_only,48,0.36586403105147075
0.4,x_only,49,0.22650669922536007
0.4,x_only,50,0.42512390854378934
0.4,x_only,51,0.3943564973222691
0.4,x_only,52,0.25765961492350997
0.4,x_only,53,0.2198904351962805
0.4,x_only,54,0.427201954186552
0.4,x_only,55,0.28196972458748903
0.4,x_only,56,0.3874490768652744
0.4,x_only,57,0.316781454037928
0.4,x_only,58,0.3301518491758075
0.4,x_only,59,0.5852456714433294
0.4,xy,0,0.10047612782045906
0.4,xy,1,0.0728906666702416
0.4,xy,2,0.06800572838281876
0.4,xy,3,0.11488650938513396
0.4,xy,4,0.07071169591029153
0.4,xy,5,0.07981198798702983
0.4,xy,6,0.0645334526273003
0.4,xy,7,0.06958016162081838
0.4,xy,8,0.09394205893441773
0.4,xy,9,0.0798786238534994
0.4,xy,10,0.07553024103601354
0.4,xy,11,0.07963536318080325
0.4,xy,12,0.08157720902018024
0.4,xy,13,0.056336438591598
0.4,xy,14,0.06696450314430326
0.4,xy,15,0.0851777902220868
0.4,xy,16,0.06893530525559143
0.4,xy,17,0.0607428974930633
0.4,xy,18,0.09325057577647193
0.4,xy,19,0.0526678347976544
0.4,xy,20,0.08367728526412727
0.4,xy,21,0.07768105263570682
0.4,xy,22,0.07630707267720829
0.4,xy,23,0.07655875780989434
0.4,xy,24,0.11438465587109108
0.4,xy,25,0.06568264347681628
0.4,xy,26,0.08259134448266633
0.4,xy,27,0.06495561042774464
0.4,xy,28,0.09063136084507123
0.4,xy,29,0.05842865206885677
0.4,xy,30,0.047931238414820235
0.4,xy,31,0.08932450654247717
0.4,xy,32,0.07606436535649082
0.4,xy,33,0.11148672866468083
0.4,xy,34,0.0670832305550691
0.4,xy,35,0.09770574949774201
0.4,xy,36,0.11654747056444031
0.4,xy,37,0.0818167458550823
0.4,xy,38,0.08722970203520228
0.4,xy,39,0.07842540289710735
0.4,xy,40,0.09476147540488711
0.4,xy,41,0.11496417588727459
0.4,xy,42,0.08359085957782579
0.4,xy,43,0.06906653680735238
0.4,xy,44,0.06385637399907065
0.4,xy,45,0.10489256324983852
0.4,xy,46,0.09553815847000861
0.4,xy,47,0.07345275244128749
0.4,xy,48,0.11744720155304254
0.4,xy,49,0.08773995569470332
0.4,xy,50,0.08577956613265067
0.4,xy,51,0.06876090813641514
0.4,xy,52,0.08410282096248446
0.4,xy,53,0.0689027401871532
0.4,xy,54,0.12452293068031092
0.4,xy,55,0.11547018813273642
0.4,xy,56,0.13206846171188963
0.4,xy,57,0.07223992400083566
0.4,xy,58,0.06893667680309665
0.4,xy,59,0.05801407700627728
0.6,x_only,0,0.28357340871406556
0.6,x_only,1,0.5111213861632895
0.6,x_only,2,0.30011227788201705
0.6,x_only,3,0.5540934883462942
0.6,x_only,4,0.17123165434496102
0.6,x_only,5,0.22093773661854
0.6,x_only,6,0.29148951564093123
0.6,x_only,7,0.2923390697524573
0.6,x_only,8,0.3843019677317261
0.6,x_only,9,0.30288871496255537
0.6,x_only,10,0.1990688967132618
0.6,x_only,11,0.24238794504484898
0.6,x_only,12,0.25620387078843604
0.6,x_only,13,0.3586549336018095
0.6,x_only,14,0.23063195726343091
0.6,x_only,15,0.18286312057115425
0.6,x_only,16,0.2535508977128462
0.6,x_only,17,0.4074951479678227
0.6,x_only,18,0.6441145369388365
