axis,axis_value,estimator,trial,sign_error
sigma_obs,0.1,x_pf,76,0.62
sigma_obs,0.1,x_pf,77,0.43
sigma_obs,0.1,x_pf,78,0.51
sigma_obs,0.1,x_pf,79,0.83
sigma_obs,0.1,x_pf,80,0.51
sigma_obs,0.1,x_pf,81,0.62
sigma_obs,0.1,x_pf,82,0.6
sigma_obs,0.1,x_pf,83,0.57
sigma_obs,0.1,x_pf,84,0.48
sigma_obs,0.1,x_pf,85,0.48
sigma_obs,0.1,x_pf,86,0.55
sigma_obs,0.1,x_pf,87,0.52
sigma_obs,0.1,x_pf,88,0.28
sigma_obs,0.1,x_pf,89,0.29
sigma_obs,0.1,x_pf,90,0.67
sigma_obs,0.1,x_pf,91,0.59
sigma_obs,0.1,x_pf,92,0.65
sigma_obs,0.1,x_pf,93,0.37
sigma_obs,0.1,x_pf,94,0.49
sigma_obs,0.1,x_pf,95,0.6
sigma_obs,0.1,x_pf,96,0.04
sigma_obs,0.1,x_pf,97,0.51
sigma_obs,0.1,x_pf,98,0.57
sigma_obs,0.1,x_pf,99,0.48
sigma_obs,0.1,oracle_x,0,0.45
sigma_obs,0.1,oracle_x,1,0.46
sigma_obs,0.1,oracle_x,2,0.57
sigma_obs,0.1,oracle_x,3,0.52
sigma_obs,0.1,oracle_x,4,0.46
sigma_obs,0.1,oracle_x,5,0.46
sigma_obs,0.1,oracle_x,6,0.46
sigma_obs,0.1,oracle_x,7,0.51
sigma_obs,0.1,oracle_x,8,0.45
sigma_obs,0.1,oracle_x,9,0.53
sigma_obs,0.1,oracle_x,10,0.53
sigma_obs,0.1,oracle_x,11,0.51
sigma_obs,0.1,oracle_x,12,0.45
sigma_obs,0.1,oracle_x,13,0.45
sigma_obs,0.1,oracle_x,14,0.58
sigma_obs,0.1,oracle_x,15,0.58
sigma_obs,0.1,oracle_x,16,0.47
sigma_obs,0.1,oracle_x,17,0.47
sigma_obs,0.1,oracle_x,18,0.49
sigma_obs,0.1,oracle_x,19,0.5
sigma_obs,0.1,oracle_x,20,0.52
sigma_obs,0.1,oracle_x,21,0.52
sigma_obs,0.1,oracle_x,22,0.41
sigma_obs,0.1,oracle_x,23,0.52
sigma_obs,0.1,oracle_x,24,0.46
sigma_obs,0.1,oracle_x,25,0.53
sigma_obs,0.1,oracle_x,26,0.46
sigma_obs,0.1,oracle_x,27,0.46
sigma_obs,0.1,oracle_x,28,0.53
sigma_obs,0.1,oracle_x,29,0.4
sigma_obs,0.1,oracle_x,30,0.5
sigma_obs,0.1,oracle_x,31,0.44
sigma_obs,0.1,oracle_x,32,0.6
sigma_obs,0.1,oracle_x,33,0.57
sigma_obs,0.1,oracle_x,34,0.55
sigma_obs,0.1,oracle_x,35,0.45
sigma_obs,0.1,oracle_x,36,0.59
sigma_obs,0.1,oracle_x,37,0.52
sigma_obs,0.1,oracle_x,38,0.57
sigma_obs,0.1,oracle_x,39,0.53
sigma_obs,0.1,oracle_x,40,0.56
sigma_obs,0.1,oracle_x,41,0.46
sigma_obs,0.1,oracle_x,42,0.48
sigma_obs,0.1,oracle_x,43,0.46
sigma_obs,0.1,oracle_x,44,0.5
sigma_obs,0.1,oracle_x,45,0.49
sigma_obs,0.1,oracle_x,46,0.48
sigma_obs,0.1,oracle_x,47,0.52
sigma_obs,0.1,oracle_x,48,0.44
sigma_obs,0.1,oracle_x,49,0.51
sigma_obs,0.1,oracle_x,50,0.48
sigma_obs,0.1,oracle_x,51,0.5
sigma_obs,0.1,oracle_x,52,0.45
sigma_obs,0.1,oracle_x,53,0.62
sigma_obs,0.1,oracle_x,54,0.52
sigma_obs,0.1,oracle_x,55,0.56
sigma_obs,0.1,oracle_x,56,0.56
sigma_obs,0.1,oracle_x,57,0.58
sigma_obs,0.1,oracle_x,58,0.56
sigma_obs,0.1,oracle_x,59,0.51
sigma_obs,0.1,oracle_x,60,0.49
sigma_obs,0.1,oracle_x,61,0.5
sigma_obs,0.1,oracle_x,62,0.55
sigma_obs,0.1,oracle_x,63,0.55
sigma_obs,0.1,oracle_x,64,0.42
sigma_obs,0.1,oracle_x,65,0.59
sigma_obs,0.1,oracle_x,66,0.54
sigma_obs,0.1,oracle_x,67,0.52
sigma_obs,0.1,oracle_x,68,0.48
sigma_obs,0.1,oracle_x,69,0.4
sigma_obs,0.1,oracle_x,70,0.48
sigma_obs,0.1,oracle_x,71,0.51
sigma_obs,0.1,oracle_x,72,0.54
sigma_obs,0.1,oracle_x,73,0.55
sigma_obs,0.1,oracle_x,74,0.54
sigma_obs,0.1,oracle_x,75,0.5
sigma_obs,0.1,oracle_x,76,0.5
sigma_obs,0.1,oracle_x,77,0.53
sigma_obs,0.1,oracle_x,78,0.5
sigma_obs,0.1,oracle_x,79,0.48
sigma_obs,0.1,oracle_x,80,0.52
