regime,theta_1,theta_2,c12,c21,trial,sign_error_q1,sign_error_q2
C: spectator c=0.05,0.0,0.3202563076101742,0.05,0.05,55,0.0,0.0
C: spectator c=0.05,0.0,0.3202563076101742,0.05,0.05,56,0.47333333333333333,0.28
C: spectator c=0.05,0.0,0.3202563076101742,0.05,0.05,57,0.09333333333333334,0.18
C: spectator c=0.05,0.0,0.3202563076101742,0.05,0.05,58,0.0,0.0
C: spectator c=0.05,0.0,0.3202563076101742,0.05,0.05,59,0.13333333333333333,0.08666666666666667
D: spectator c=0.10,0.0,0.3202563076101742,0.1,0.1,0,0.0,0.0
D: spectator c=0.10,0.0,0.3202563076101742,0.1,0.1,1,0.0,0.0
D: spectator c=0.10,0.0,0.3202563076101742,0.1,0.1,2,0.9333333333333333,0.9333333333333333
D: spectator c=0.10,0.0,0.3202563076101742,0.1,0.1,3,0.24,0.24
D: spectator c=0.10,0.0,0.3202563076101742,0.1,0.1,4,0.0,0.0
D: spectator c=0.10,0.0,0.3202563076101742,0.1,0.1,5,0.09333333333333334,0.1
D: spectator c=0.10,0.0,0.3202563076101742,0.1,0.1,6,1.0,1.0
D: spectator c=0.10,0.0,0.3202563076101742,0.1,0.1,7,0.49333333333333335,0.49333333333333335
D: spectator c=0.10,0.0,0.3202563076101742,0.1,0.1,8,0.0,0.0
D: spectator c=0.10,0.0,0.3202563076101742,0.1,0.1,9,0.11333333333333333,0.11333333333333333
D: spectator c=0.10,0.0,0.3202563076101742,0.1,0.1,10,0.0,0.0
D: spectator c=0.10,0.0,0.3202563076101742,0.1,0.1,11,0.0,0.0
D: spectator c=0.10,0.0,0.3202563076101742,0.1,0.1,12,0.8,0.8
D: spectator c=0.10,0.0,0.3202563076101742,0.1,0.1,13,0.0,0.0
D: spectator c=0.10,0.0,0.3202563076101742,0.1,0.1,14,0.19333333333333333,0.19333333333333333
D: spectator c=0.10,0.0,0.3202563076101742,0.1,0.1,15,0.006666666666666667,0.006666666666666667
D: spectator c=0.10,0.0,0.3202563076101742,0.1,0.1,16,0.0,0.0
D: spectator c=0.10,0.0,0.3202563076101742,0.1,0.1,17,0.0,0.0
D: spectator c=0.10,0.0,0.3202563076101742,0.1,0.1,18,0.0,0.0
D: spectator c=0.10,0.0,0.3202563076101742,0.1,0.1,19,0.0,0.0
D: spectator c=0.10,0.0,0.3202563076101742,0.1,0.1,20,0.52,0.52
